"Timestamp","1. Country of Residence ","2. Age Range ","3. Gender ","4. Highest Educational Level ","5. Occupation / Professional Role","6. Sector of Work","7. Do you observe visible plastic pollution (macroplastics) in your community? ","8. In what environmental settings do you most often encounter plastic waste? (Select all that apply) ","9. Are you aware of microplastics as an environmental or health issue? ","10. From your perspective, which ecosystems are most affected by plastic pollution in your area? (Select all that apply) ","11. How concerned are you about the environmental and health impacts of microplastics?","12. How knowledgeable are you about the causes and effects of microplastic pollution? ","13. What sources of information influence your understanding of microplastics? (Select all that apply) ","14. Do you believe microplastics affect human health?","15. What specific health effects have you heard about (if any)? (Open-ended) ","16. Have you seen or heard media stories on microplastics or plastic pollution in the past 6 months? ","17. Which platforms most effectively communicate environmental issues in your country? (Rank top 3) ","18. What messages do you remember most from media coverage? (Select all that apply) ","19. To what extent has media coverage influenced your behavior or concern?","20. Have you heard of the circular economy concept?","21. Which actions do you associate with a circular economy? (Select all that apply)","22. Which sectors in your country are actively working toward circular economy practices? (Select all that apply)","23. What are the biggest challenges to a circular economy in your area? (Open-ended) ","24. Which measures do you support to address plastic pollution in your country? (Choose up to 3) ","25.  What actions are you personally taking to reduce plastic waste? (Open-ended)","26. What would motivate you (or others) to take more action?","27. What further actions should be taken to tackle plastic and microplastic pollution? (Open-ended) ","28. Any other suggestions, recommendations, or experiences you’d like to share? (Optional) "
"2025/06/19 6:21:20 PM GMT+4","Ethiopia","25-34","Male","Bachelor’s degree","Business owner / Entrepreneur","Private Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Social Media","Yes","Cancer","No","Radio;Facebook;TikTok;YouTube","Threats to marine life;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Industrial recycling;Upcycling waste materials","Government;Private companies;Local communities","Lack of awearness ","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships","I don't buy single used and through plastic's ","Better waste facilities","Recycling the plastic wastages ","In Ethiopia we need awareness creating program and projects on plastic wastag management."
"2025/06/19 6:28:39 PM GMT+4","Ethiopia","18-24","Male","Bachelor’s degree","Student","Student","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Forests;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Social Media;School/University","Yes","Respiratory diseases","Yes","TV;Facebook","Threats to marine life;Microplastics in drinking water;Climate and environmental damage;Call to action/cleanups;Government policy changes","Moderately","Yes","Reusing and repairing products;Redesigning packaging;Industrial recycling;Upcycling waste materials","Government;Startups","Lack of matchines for recycling the used products.","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives","Alternative plastic usage","Health education","Creating awearness for the community.","Creating Public Awearness And Program On plastic Wastage Management"
"2025/06/19 6:51:59 PM GMT+4","République Démocratique du Congo","25-34","Male","Bachelor’s degree","Government employee","Public Sector","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Urban areas","Moderately concerned","Somewhat knowledgeable","Television;Radio;Social Media","Yes","","Not sure","TV;Radio","Threats to marine life;Microplastics in drinking water;Climate and environmental damage","Moderately","Yes","Reusing and repairing products","Government","","Ban on single-use plastics","","Financial incentives","",""
"2025/06/19 7:10:42 PM GMT+4","Ethiopia","25-34","Male","Secondary education","Driver","Private Sector","Occasionally","Markets or open-air areas","Yes","Forests","I don’t know enough to answer","Very knowledgeable","Social Media","Yes","respiratory issues,digestive problem","No","TikTok","Climate and environmental damage","Very significantly","Yes","Industrial recycling","Private companies","high investment cost","Community-based waste management","maintain and repair plastics products","Religious/cultural messaging","regulating plastic production and consumption","no"
"2025/06/19 7:11:50 PM GMT+4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/06/19 10:12:57 PM GMT+4","République Démocratique du Congo","35-44","Male","Vocational/Technical training","Educator / Teacher","Public Sector","Frequently","Rivers/Lakes","Yes","Freshwater ecosystems","Extremely concerned","Very knowledgeable","Scientific publications","Yes","","Yes","TV","Government policy changes","Very significantly","Yes","","Private companies","","National awareness campaigns","","Community leadership","",""
"2025/06/19 10:50:41 PM GMT+4","République Démocratique du Congo","65 and above","Female","Bachelor’s degree","Government employee","Public Sector","Frequently","Roadsides;Rivers/Lakes;Farmlands;Beaches;Urban dumpsites;Markets or open-air areas","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Heard about it but unsure","Television;Radio;Social Media;Scientific publications;NGOs;Community leaders","Yes","Cause différentes formes de cancer ","Not sure","TV;Radio;Newspapers","Threats to marine life;Microplastics in drinking water;Food chain contamination;Climate and environmental damage;Call to action/cleanups","Moderately","No","Redesigning packaging;Industrial recycling;Upcycling waste materials","Local communities;Schools/universities;NGOs","Interdiction des emballages et bouteilles plastiques, les remplacer par les emballages biodégradables, créer des industries de recyclage, sensibilisation de la population sur la gestion des déchets.","Ban on single-use plastics;Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Je brûle régulièrement les sachets et bouteilles plastiques au lieu de les jeter dans les caniveaux.","Health education","Imposition par l'État de recycler toutes les matières plastiques par leurs fabricants ","Abandon total d'utilisation des matières plastiques comme dans d'autres pays et recourir aux matières biodégradables."
"2025/06/20 3:03:31 PM GMT+4","République Démocratique du Congo","45-54","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Scientific publications","Yes","Reproduction problem","Yes","Radio","Food chain contamination;Climate and environmental damage;Call to action/cleanups","Very significantly","No","Composting and biodegradables;Industrial recycling","Schools/universities","Communication ","Increased recycling infrastructure;Public-private partnerships;Community-based waste management","Avoid using plastic ","Health education","Health education",""
"2025/06/20 4:46:24 PM GMT+4","République Démocratique du Congo","25-34","Male","Master’s degree or higher","Entrepreneur et travailleur d'une société privée ","Private Sector","Frequently","Pour la ville de Kinshasa, les bords de route, rivière ","Yes","Urban areas","Extremely concerned","Somewhat knowledgeable","Scientific publications","Yes","Le cancer","Yes","Je ne suis pas un canal en permanence, la radio et les réseaux sociaux ou article sur internet ","Climate and environmental damage","Moderately","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials","Private companies","Le financement et la valorisation de la main d' œuvre ","Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Consommation durable des produits ayant de l'emballage en plastique ","Better waste facilities","Institution d'une brigade verte pour conseiller et sanctionner les mauvais citoyens","La sensibilisation de la population et la formation des agents des sociétés liées à l'économie circulaire "
"2025/06/20 4:57:25 PM GMT+4","République Démocratique du Congo","55-64","Male","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Roadsides;Rivers/Lakes;Urban dumpsites;Markets or open-air areas","Yes","Urban areas","Extremely concerned","Very knowledgeable","Television;School/University","Yes","Impacts negatifs sur le système respiratoire, et le risque de cancer","Yes","TV","Threats to marine life;Food chain contamination;Climate and environmental damage","Very significantly","Yes","Reusing and repairing products;Industrial recycling;Upcycling waste materials","Private companies;Schools/universities","Défis économiques, défis techniques et Sociaux-démocrates","Increased recycling infrastructure;Integration into school curricula;Community-based waste management","Étant donné que mon milieu de vie n'a aucune décharge publique, je brûle les déchets plastiques","Better waste facilities","Création des entreprises de recyclage des déchets plastiques dans les grandes villes et incitations à leur transformation en d'autres produits comme les pavés","Implanter des décharges publiques dans les quartiers les plus peuplés et sensibiliser la population à la gestion des déchets plastiques ? "
"2025/06/20 5:00:47 PM GMT+4","République Démocratique du Congo","35-44","Female","Master’s degree or higher","Researcher / Academic","Academic/Research","Frequently","Rivers/Lakes","Yes","Freshwater ecosystems;Marine/coastal areas;Agricultural land;Urban areas","Extremely concerned","Very knowledgeable","Scientific publications;School/University","Yes","Cancerous effect ","No","Public forums","I don’t recall any","Not at all","Yes","Reusing and repairing products;Composting and biodegradables;Industrial recycling;Upcycling waste materials","Schools/universities","The vulgarisation ","Increased recycling infrastructure;National awareness campaigns;Integration into school curricula;Incentives for plastic alternatives;Strict enforcement of waste laws;Public-private partnerships;Community-based waste management","Reduce his utilization ","Better waste facilities","find other alternatives to plastic","Kinshasa's experience before the influx of plastic. The streets were clean because most of the waste was biodegradable. Households used it for landfills. There were no public trash cans, but the streets were clean."
"2025/06/20 5:17:13 PM GMT+4","République Démocratique du Congo","35-44","Female","Bachelor’s degree","Government employee","Public Sector","Frequently","Every where","Yes","Agricultural land","Extremely concerned","Heard about it but unsure","Television","Yes","Illnesses, like allergies ","Yes","TV","Food chain contamination","Very significantly","Yes","Reusing and repairing products;Redesigning packaging;Composting and biodegradables;Industrial recycling;Upcycling waste materials;Government incentives for recyclers","I’m not sure","The only great challenge for me is about paying correctly all the people in charge to collect all the trashes to be recycle. Once they get to be paid, all kind of trash will dispear from.
Another challenge is about building manufactories for the circular economy.","Ban on single-use plastics","Personally, I keep all my plastics in my bag to put them in a trash.
I never throw my plastics away.","Financial incentives","1. Putting garbages every where
2. Advising pupils and students to keep the city clean
3. Preaching in churches about health education ","None"
